modello,k,regione,percentuale_vaccinati,cluster
K-MEANS,5,Sicilia,0.538780171192156,1
K-MEANS,5,Toscana,0.590635037767836,4
K-MEANS,5,Umbria,0.617285520564431,0
K-MEANS,5,Valle d'Aosta / Vallée d'Aoste,0.605827515234674,0
K-MEANS,5,Veneto,0.588686175837252,4
K-MEANS,4,Abruzzo,0.624055441095004,3
K-MEANS,4,Basilicata,0.605194866859394,3
K-MEANS,4,Calabria,0.571240350040048,2
K-MEANS,4,Campania,0.595448504065049,2
K-MEANS,4,Emilia-Romagna,0.605292619651701,3
K-MEANS,4,Friuli-Venezia Giulia,0.622776335074865,3
K-MEANS,4,Lazio,0.596208289895322,2
K-MEANS,4,Liguria,0.638774543732469,0
K-MEANS,4,Lombardia,0.612220517484112,3
K-MEANS,4,Marche,0.609465394436948,3
K-MEANS,4,Molise,0.651148047358429,0
K-MEANS,4,Piemonte,0.597769358398019,2
K-MEANS,4,Provincia Autonoma Bolzano / Bozen,0.606115623506928,3
K-MEANS,4,Provincia Autonoma Trento,0.553774701924754,1
K-MEANS,4,Puglia,0.610253656099381,3
K-MEANS,4,Sardegna,0.572854260194904,2
K-MEANS,4,Sicilia,0.538780171192156,1
K-MEANS,4,Toscana,0.590635037767836,2
K-MEANS,4,Umbria,0.617285520564431,3
K-MEANS,4,Valle d'Aosta / Vallée d'Aoste,0.605827515234674,3
K-MEANS,4,Veneto,0.588686175837252,2
K-MEANS,3,Abruzzo,0.624055441095004,0
K-MEANS,3,Basilicata,0.605194866859394,0
K-MEANS,3,Calabria,0.571240350040048,2
K-MEANS,3,Campania,0.595448504065049,0
K-MEANS,3,Emilia-Romagna,0.605292619651701,0
K-MEANS,3,Friuli-Venezia Giulia,0.622776335074865,0
K-MEANS,3,Lazio,0.596208289895322,0
K-MEANS,3,Liguria,0.638774543732469,1
K-MEANS,3,Lombardia,0.612220517484112,0
K-MEANS,3,Marche,0.609465394436948,0
K-MEANS,3,Molise,0.651148047358429,1
K-MEANS,3,Piemonte,0.597769358398019,0
K-MEANS,3,Provincia Autonoma Bolzano / Bozen,0.606115623506928,0
K-MEANS,3,Provincia Autonoma Trento,0.553774701924754,2
K-MEANS,3,Puglia,0.610253656099381,0
K-MEANS,3,Sardegna,0.572854260194904,2
K-MEANS,3,Sicilia,0.538780171192156,2
K-MEANS,3,Toscana,0.590635037767836,0
K-MEANS,3,Umbria,0.617285520564431,0
K-MEANS,3,Valle d'Aosta / Vallée d'Aoste,0.605827515234674,0
K-MEANS,3,Veneto,0.588686175837252,0
K-MEANS,2,Abruzzo,0.624055441095004,1
K-MEANS,2,Basilicata,0.605194866859394,1
K-MEANS,2,Calabria,0.571240350040048,0
K-MEANS,2,Campania,0.595448504065049,0
K-MEANS,2,Emilia-Romagna,0.605292619651701,1
